tweet_id,created_at,text,likes,retweets,author_id
1894374502299316280,2025-02-25T13:10:51.000Z,The future of sports finance is being rewritten by innovative entrepreneurs who are creating a new era of athlete-owned leagues and community-driven sponsorshi,0,0,1881175799031816192
1894374502269645299,2025-02-25T13:10:51.000Z,"🚀 Big News!

#ElonMusk has officially launched X Token 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 https://t.co/b6Btml8CrQ

CfVOu @19kilo_g79 @GaneshM18180511 @Subhash72946732 @Said02018613 @saf_1_bio @filippo_sanchez @Triptibain @linchen930505 @xrpbott",0,0,1885358647556902912
1894374502240256418,2025-02-25T13:10:51.000Z,"🚀 Big News!

#ElonMusk has officially launched X Token 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 https://t.co/b6Btml8CrQ

UqLDV @mmojarrad79 @Usman40169584 @JenniferHo88394 @GamerKalibanks @Bhy77777 @moniquenbucky @WenLamb35571348 @Nathaniel3552 @juny4n23",0,0,1885358647556902912
1894374502236119435,2025-02-25T13:10:51.000Z,"🚀 Big News!

#ElonMusk has officially launched X Token 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 https://t.co/b6Btml8CrQ

hlkPu @Manjit88709177 @FrancoCryptoTop @Zakh6687 @xpress_tasty @shewen66971294 @KamalMoudar @sinlovekiyo @doc_chain @wnh1037538",0,0,1885358647556902912
1894374502223495613,2025-02-25T13:10:51.000Z,"🚀 Big News!

#ElonMusk has officially launched X Token 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 https://t.co/b6Btml8CrQ

mZJxo @indream_march @leocndf11 @firersnt @Werk1000x_c @ProtectionJc @Shagy1982 @MrSnoogins @Themoeller420 @BabyWhale2000 @LenghiaVT",0,0,1885358647556902912
1894374502219366765,2025-02-25T13:10:51.000Z,"🚀 Big News!

#ElonMusk has officially launched X Token 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 https://t.co/b6Btml8CrQ

NILDr @noteratenite174 @ibrahim57109781 @king_lucas54 @thebesttown91 @JohnPau76725042 @Matthew84702155 @Anas12394 @Alexand58109295",0,0,1885358647556902912
1894374502206783905,2025-02-25T13:10:51.000Z,"RT @MrSinha_: This won't be called hate speech and won't even make it into the news. But if a Hindu leader responds in the same language, i…",0,2243,1687474286079176704
1894374502206771626,2025-02-25T13:10:51.000Z,"🚀 Big News!

#ElonMusk has officially launched X Token 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 https://t.co/b6Btml8CrQ

hDXBy @SparklyOh24 @larkmelucky @G4ppyG4ppy2 @Dogcreekcustomz @WangYiRu828123 @samvin75 @Dewang90 @edwinre99 @mrshwdeight @Yang_zzzzzzz",0,0,1885358647556902912
1894374502127010276,2025-02-25T13:10:51.000Z,"RT @RapidResponse47: Maine State Rep. Laurel Libby: ""President Trump is right on with issuing this executive order that the vast majority o…",0,1374,788026339
1894374502126993641,2025-02-25T13:10:51.000Z,"RT @ThewayOffroad: Worldwide Trends update 🌏
[ 2025.02.25 | 8:07 PM ] ✨

📈 No. 4 🎉
#️⃣ #OFFROAD_ผิดแผนMV
📊 92.7 K Tweets

OFFROAD FOUL 

ะเ…",0,36,1562478036414451713
1894374502077026308,2025-02-25T13:10:51.000Z,"RT @BonOdoriJapan: 演歌歌手・丘みどり　新曲「夜香蘭（ひやしんす）」26日発売　紅白「目指して頑張りたい！」(スポニチアネックス)
#Yahooニュース
https://t.co/i6kmFYZv9Y",0,2,1486483117716443139
1894374502068281350,2025-02-25T13:10:51.000Z,"🚀 Big News!

#ElonMusk has officially launched X Token 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 https://t.co/b6Btml8CrQ

mzNmZ @HappenedTr @CuzBcan @Mr_NOBODY_RSA @Hossein10444732 @jesmin86337 @Miranda9Rae @DanTam0205 @Cover_X_X_X @JulioNavr @Mahdi54024484",0,0,1885358647556902912
1894374502055674267,2025-02-25T13:10:51.000Z,"🚀 Big News!

#ElonMusk has officially launched X Token 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 https://t.co/b6Btml8CrQ

TpHzB @charusiya6106 @01988_h @XLDCoin @Ahmed84000723 @AnastasiaK30389 @andyking9527 @Satit05552241 @PreciousOneCA @paulajhawkins",0,0,1885358647556902912
